nb,nu,nd,ns,ne,nm,μu,μd,μe,P,e
0.0026376536849999997,0.002637652183553819,0.002831793448851315,0.0024434961949393636,1.22645187376134e-8,0.0,0.2963800582012092,0.30351445352569645,0.007134395324487246,0.0005720637522213275,0.001810810496379719
0.0026949939824999995,0.0026949867029517484,0.0028905307141833645,0.002499435496933312,1.2016616329527747e-8,0.0,0.29851205327380775,0.30559805192073036,0.00708599864692263,0.0005888589612193017,0.0018627903122099775
0.0027523342799999993,0.002752329894793411,0.002949252134015862,0.0025553982731370615,1.177772526762077e-8,0.0,0.30061433706696433,0.3076530643692921,0.007038727302327727,0.0006057787389691855,0.0019151337366861878
0.0028096745775,0.002809670291542057,0.0030079527313489744,0.002611378448417107,1.1548410976919986e-8,0.0,0.302687520296935,0.3096802661385189,0.006992745841583862,0.0006228191419095278,0.0019678290475148444
0.0028670148749999997,0.002867008468098813,0.0030666347889579766,0.002667376935848169,1.132828530089675e-8,0.0,0.3047326072500333,0.3116806379077458,0.006948030657712496,0.0006399788618460518,0.0020208726145129704
0.0029243551725,0.002924349032813897,0.003125296216892677,0.0027233905430427575,1.1115604053987714e-8,0.0,0.3067506899788649,0.3136549640519345,0.006904274073069604,0.0006572562216183108,0.002074259574120129
0.0029816954699999998,0.002981689639247887,0.0031839438557398902,0.002779424668927531,1.0911340888983715e-8,0.0,0.3087425638042355,0.31560428458125805,0.006861720777022546,0.0006746506445451738,0.002127988590937373
0.0030390357674999996,0.00303902928345368,0.0032425745341839217,0.002835475210368178,1.0714614318280657e-8,0.0,0.3107090292664173,0.3175292617835444,0.006820232517127096,0.000692159791612192,0.0021820527685093667
0.003096376065,0.0030963705898055874,0.003301193222013867,0.0028915458993388436,1.05252735856006e-8,0.0,0.31265096897391575,0.3194307884647442,0.006779819490828453,0.0007097833581127019,0.0022364515187419686
0.0031537163624999996,0.0031537104349771486,0.0033597879049466844,0.002947624268294359,1.0341565653733601e-8,0.0,0.31456903114199236,0.3213091739425395,0.006740142800547112,0.0007275171036705392,0.0022911719971654408
